t,l,m,r,n,v_m,v_a,v_m_e,v_a_e,a,e,seed,computation_time,version,max_complexity,mean_complexity,has_phase_change,time_to_chaos
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.4,608120614,6.658972263336182,0.03,22908676.527677797,414736.98202659015,True,208
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,1.0,1712774629,14.948482036590576,0.03,9.12010839355904e+18,3.814506812998868e+16,False,2185
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.8,2141021324,6.850160360336304,0.03,575439937337.1543,3494470735.7426143,True,577
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,0.4,1705468076,11.829132556915283,0.03,1905460717.9632368,12984686.617245074,True,432
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,1.0,1187303134,7.694242715835571,0.03,2511886431509.572,25639469774.01876,True,559
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.8,1818806411,13.532477617263794,0.03,144543977074592.8,972964586772.6686,False,985
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.4,950791542,19.36568522453308,0.03,3.311311214825908e+17,1391446703517648.2,True,1152
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,1.0,1643362751,10.316059112548828,0.03,1318256738556399.2,6098512505407.146,True,1332
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.6,46651153,5.442960023880005,0.03,758577575.0291821,4018409.085869824,True,91
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,1.0,989916673,5.504308223724365,0.03,1737800828749.3691,26442037794.756317,False,166
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,0.6,2007839868,16.07157063484192,0.03,5.754399373371543e+19,1.6449150364401354e+17,True,1436
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,1.0,1453580397,8.42801022529602,0.03,524807460249771.25,2789150841868.5454,True,588
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.4,1935582428,13.19938325881958,0.03,1318256738.556399,13485844.141186375,True,282
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.6,1503367702,7.538396120071411,0.03,1096478196.1431828,3613247.704945066,True,77
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,1.0,901798056,11.900062084197998,0.03,69183097091893.625,518555405064.531,False,4106
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,1.0,1443018978,9.36564826965332,0.03,8.317637711026675e+17,5058861115378696.0,True,1104
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.8,604223971,13.24577784538269,0.03,524807460.2497712,15135519.97084522,True,265
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,1.0,1846291155,11.757087707519531,0.03,912010839355904.0,12224886709697.8,False,874
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,1.0,111751955,11.699501752853394,0.03,2754228703338152.0,29831785407584.39,True,750
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,1.0,1335161099,11.67628288269043,0.03,3.981071705534953e+19,8.343560434841317e+16,True,1975
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,0.6,750174769,13.299710035324097,0.03,6.9183097091893625e+19,3.81588034727162e+17,False,3024
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,0.4,1401082857,9.73530888557434,0.03,1737800828749.3691,3485031477.8850584,False,3326
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,0.6,576490324,9.438215494155884,0.03,1584893192.4611108,27489863.6451066,True,249
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,1345842878,14.956785917282104,0.03,5.754399373371543e+17,4341403412532953.0,True,1028
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.8,298319565,13.095353603363035,0.03,20892961308.54041,271356927.153985,True,405
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,1.0,301098386,6.916232347488403,0.03,109647819614.31828,771084723.3162768,True,97
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.6,1706176893,13.666358709335327,0.03,478630092322.638,4984358580.194045,True,836
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,1.0,1967119161,6.855321407318115,0.03,4365158322401.63,52136569769.903946,True,147
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,1.0,1903489246,4.333201885223389,0.03,13182567385563.994,282246252436.8368,False,52
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.6,1315076214,7.723181486129761,0.03,3981071705534953.0,9569583399119.469,True,1114
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.6,1746756506,15.294494152069092,0.03,100000000000000.0,1325067487958.7075,True,1404
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.8,1254593363,7.524439334869385,0.03,5248074602497.712,30555022921.92097,True,2643
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.8,1216356869,4.587315320968628,0.03,100000000000000.0,250825214754.75024,False,639
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,0.6,511618769,10.561804056167604,0.03,524807460.2497712,5939463.951903948,False,243
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,0.4,1440747226,6.41633152961731,0.03,69183097.09189363,563328.0512141436,True,541
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.8,817135253,15.310691833496094,0.03,15848931924611.11,209315703087.2188,False,685
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.4,813473191,8.716184616088867,0.03,100000000.0,557525.0093693893,True,321
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,1.0,1603918231,16.812486171722412,0.03,1.9054607179632365e+17,1130995848689822.0,False,722
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,0.8,1460297318,15.46871781349182,0.03,7.585775750291821e+18,2.4668137617048936e+16,True,805
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.6,148023141,6.695647478103638,0.03,36307805477.010025,108947828.60905716,False,450
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.6,899402646,11.18847370147705,0.03,6918309709189363.0,35616030698221.8,False,2762
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,129611578,9.022687673568726,0.03,9120108393559.04,105516332508.09846,True,577
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,1.0,1337533100,15.699312925338743,0.03,3.3113112148258806e+27,2.2274592481302023e+25,False,1677
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.6,999324441,6.866502046585083,0.03,12022644346.174082,100570959.60945278,True,118
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,0.4,767035146,10.33894109725952,0.03,630957344.4801891,2327128.9627189026,True,481
5000,100,5,50,5,0.005,0,0.01,0.03,0.5,1.0,814091542,12.131833791732788,0.03,758577575029182.0,9269493381918.168,False,3399
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.6,1975465208,7.373962879180908,0.03,1096478196.1431828,14363887.388853518,True,267
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,1.0,75270426,14.941722869873049,0.03,5754399373371543.0,34905680236952.85,True,594
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.4,1124505308,14.31750226020813,0.03,6918309709.189363,46346620.00160404,True,513
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.4,817599888,9.9657940864563,0.03,14454397707.45928,97592976.41095516,False,793
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.4,109536872,6.366159915924072,0.03,27542287.033381637,198575.2103652561,False,1981
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.4,567340540,12.751333236694336,0.03,190546071796.32367,1152888992.8610914,False,4512
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.8,489804854,12.230318069458008,0.03,120226443461740.8,1042326884908.4464,True,782
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.8,1576291593,18.032472610473636,0.03,2.511886431509572e+16,259503929779190.53,True,2622
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.6,355588400,9.312976598739624,0.03,3.311311214825908e+19,5.241376455433982e+16,False,4521
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,1.0,1299095084,9.798442125320436,0.03,100000000000000.0,268399165266.9127,False,2165
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,1.0,121474477,5.5167012214660645,0.03,4365158322401.63,70914888802.75558,False,229
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.8,2077249784,10.4836745262146,0.03,1905460717.9632368,22089182.556180984,True,181
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.4,1380072206,12.699695587158203,0.03,2511886431509.572,33649613318.089844,True,2494
5000,100,5,50,5,0.005,0,0.01,0.03,0.6,0.4,610303448,8.950163841247559,0.03,1905460717.9632368,15856499.884793432,True,1311
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.8,1410403586,18.722179174423218,0.03,1.445439770745928e+20,3.949232595809605e+17,False,3515
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.4,973235342,10.449162483215332,0.03,8317637711.026674,33185970.19997648,True,913
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.4,1667677066,10.782188653945925,0.03,758577575.0291821,10332983.244548608,True,369
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,1.0,1393997122,13.66320252418518,0.03,69183097091893.625,470546098287.2103,True,791
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,0.6,1602916854,6.16570520401001,0.03,19054607179632.367,59922878210.18251,False,870
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,0.4,1770579014,3.821362018585205,0.03,22908676.527677797,201089.14587886256,False,415
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.6,1386615242,10.42221212387085,0.03,19054607179632.367,99882495051.79204,True,2044
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.6,1637719085,7.001375436782837,0.03,1318256738.556399,6544520.418560581,True,232
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.4,997493051,15.493923425674438,0.03,14454397707.45928,327044829.73959976,True,1000
5000,100,5,50,5,0.005,0,0.01,0.03,0.2,0.4,1660105804,16.95612907409668,0.03,5248074602497.712,19833965242.901302,True,964
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,1.0,851141252,3.988894701004028,0.03,27542287033381.52,268319887490.1585,False,527
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,1.0,1837187513,6.200120210647583,0.03,1737800828749.3691,9910021920.252129,True,145
5000,100,5,50,5,0.005,0,0.01,0.03,0.7,0.8,443790786,9.020702123641968,0.03,57543993733715.43,250146715871.91397,True,771
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.8,1861269800,12.616016864776611,0.03,3630780547701.003,30322823080.703945,True,643
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,1.0,1301593854,4.846612930297852,0.03,100000000000000.0,271261550342.5831,False,463
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,1.0,1166452429,5.281226873397827,0.03,7585775750291.82,41973410201.988266,True,375
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,0.4,524494258,11.999991178512571,0.03,301995172.04019946,2920581.943306238,True,452
5000,100,5,50,5,0.005,0,0.01,0.03,0.1,0.8,95801330,16.217804431915283,0.03,4.3651583224016655e+18,1.7568506208904922e+16,True,1515
5000,100,5,50,5,0.005,0,0.01,0.03,0.9,0.8,1538712891,5.502074241638184,0.03,831763771102.6675,3339567252.0660057,False,115
5000,100,5,50,5,0.005,0,0.01,0.03,1.0,0.6,722739006,3.583174467086792,0.03,1905460717.9632368,20688313.17152708,False,160
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.6,620936525,11.442975759506226,0.03,331131121482.5908,2206965464.151675,True,561
5000,100,5,50,5,0.005,0,0.01,0.03,0.0,0.4,1881839481,22.215574264526367,0.03,83176377110266.75,1176201227764.0378,False,1299
5000,100,5,50,5,0.005,0,0.01,0.03,0.3,0.8,126244055,9.88515019416809,0.03,173780082874936.9,1138994232194.0574,True,532
5000,100,5,50,5,0.005,0,0.01,0.03,0.4,0.8,738092340,11.286980390548706,0.03,5754399373371543.0,29373441938345.062,True,635
5000,100,5,50,5,0.005,0,0.01,0.03,0.8,1.0,2141711482,7.296649217605591,0.03,3019951720402.019,6293009213.125548,True,142
